                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     28,                0.63329,                0.46238,                  1.181,                0.93268,                0.94331,                0.98767,                0.86553,                0.56217,                0.43494,                0.94042,              0.0012379,              0.0012379,              0.0012379
                     29,                0.62117,                0.45782,                 1.1752,                0.99535,                0.99432,                0.98924,                0.87656,                 0.5295,                0.31043,                0.91383,              0.0012214,              0.0012214,              0.0012214
                     30,                0.61762,                 0.4548,                 1.1796,                0.99547,                0.99432,                0.98883,                0.88075,                0.53841,                0.33142,                0.93134,              0.0012049,              0.0012049,              0.0012049
                     31,                0.61046,                0.44372,                 1.1695,                0.99562,                0.99432,                0.98813,                0.88396,                0.52134,                 0.3012,                0.89405,              0.0011884,              0.0011884,              0.0011884
                     32,                0.60196,                0.43651,                 1.1586,                0.99562,                0.99432,                0.98679,                0.86714,                0.57438,                0.33318,                0.97201,              0.0011719,              0.0011719,              0.0011719
                     33,                0.60768,                0.44412,                 1.1707,                0.99528,                0.99432,                0.99007,                0.86393,                0.63845,                0.37268,                  1.006,              0.0011554,              0.0011554,              0.0011554
                     34,                 0.5978,                0.44094,                  1.157,                0.99542,                0.99432,                0.98873,                0.87975,                0.53743,                0.29773,                0.90037,              0.0011389,              0.0011389,              0.0011389
                     35,                0.60214,                0.43342,                 1.1565,                0.99527,                0.99432,                0.98988,                0.88175,                0.52916,                0.30752,                0.90142,              0.0011224,              0.0011224,              0.0011224
                     36,                0.60333,                0.43201,                 1.1564,                0.99531,                0.99432,                 0.9876,                0.87517,                0.52126,                0.30876,                 0.8846,              0.0011059,              0.0011059,              0.0011059
                     37,                0.59808,                0.42783,                 1.1548,                0.99532,                0.99432,                0.98846,                0.89607,                0.51473,                0.31852,                0.88865,              0.0010894,              0.0010894,              0.0010894
                     38,                 0.5915,                0.42745,                 1.1513,                0.99565,                0.99432,                0.98977,                0.88928,                 0.4914,                0.27388,                0.85844,              0.0010729,              0.0010729,              0.0010729
                     39,                0.59121,                0.41276,                 1.1537,                0.99419,                0.99432,                0.98788,                0.88787,                0.50575,                0.32389,                0.89307,              0.0010564,              0.0010564,              0.0010564
                     40,                0.58011,                0.42694,                 1.1473,                0.99532,                0.99432,                0.98824,                0.87974,                0.52502,                0.29526,                0.88763,              0.0010399,              0.0010399,              0.0010399
                     41,                0.57928,                0.41862,                 1.1495,                 0.9953,                0.99432,                0.98811,                0.88529,                0.49276,                0.31181,                0.86119,              0.0010234,              0.0010234,              0.0010234
                     42,                0.57432,                0.41208,                  1.143,                0.99564,                0.99432,                0.99055,                0.88986,                0.52902,                0.31746,                0.90418,              0.0010069,              0.0010069,              0.0010069
                     43,                 0.5768,                0.40188,                 1.1426,                0.99512,                0.99432,                0.99032,                0.88804,                0.51334,                0.29384,                 0.8887,             0.00099036,             0.00099036,             0.00099036
                     44,                0.56796,                0.39972,                 1.1408,                0.99476,                0.99432,                0.98962,                0.89803,                0.46743,                0.27938,                0.83744,             0.00097386,             0.00097386,             0.00097386
                     45,                0.56728,                0.41085,                 1.1357,                0.99546,                0.99432,                0.98851,                0.88522,                0.52203,                0.30642,                0.90683,             0.00095736,             0.00095736,             0.00095736
                     46,                0.56396,                0.38903,                 1.1335,                0.99545,                0.99432,                0.99135,                0.89004,                0.49144,                0.30047,                0.86506,             0.00094085,             0.00094085,             0.00094085
                     47,                0.56395,                0.39734,                 1.1314,                0.99527,                0.99432,                0.98913,                0.88478,                0.50312,                0.30817,                0.87849,             0.00092435,             0.00092435,             0.00092435
                     48,                0.54902,                0.38632,                 1.1209,                0.99556,                0.99432,                0.99102,                0.89178,                0.49419,                0.29733,                0.86485,             0.00090785,             0.00090785,             0.00090785
                     49,                0.54488,                0.38487,                 1.1272,                0.99363,                0.99432,                0.98789,                0.88431,                 0.4895,                0.28691,                0.86287,             0.00089134,             0.00089134,             0.00089134
                     50,                0.54894,                0.37852,                 1.1229,                0.99526,                0.99432,                0.99038,                0.88532,                0.54152,                0.31771,                0.93658,             0.00087484,             0.00087484,             0.00087484
                     51,                0.55299,                0.38171,                 1.1301,                0.99218,                0.99432,                0.98892,                 0.8544,                0.57775,                0.32183,                0.95286,             0.00085834,             0.00085834,             0.00085834
                     52,                0.54416,                0.38312,                 1.1176,                0.99518,                0.99432,                0.98868,                0.88808,                0.51142,                0.31804,                0.88854,             0.00084184,             0.00084184,             0.00084184
                     53,                0.54476,                0.37611,                  1.116,                0.99553,                0.99432,                 0.9909,                0.88725,                0.51218,                0.30093,                0.89522,             0.00082533,             0.00082533,             0.00082533
                     54,                0.54027,                0.36721,                 1.1222,                0.99551,                0.99432,                0.99079,                0.88311,                0.50672,                0.32627,                0.88742,             0.00080883,             0.00080883,             0.00080883
                     55,                 0.5447,                0.37702,                 1.1229,                0.99432,                0.99432,                0.98771,                0.88933,                0.50444,                0.30578,                 0.8751,             0.00079233,             0.00079233,             0.00079233
                     56,                 0.5289,                0.35944,                 1.1071,                0.99563,                0.99432,                 0.9906,                0.90582,                0.47282,                0.28462,                 0.8488,             0.00077582,             0.00077582,             0.00077582
                     57,                0.53844,                0.37966,                 1.1185,                0.99459,                0.99432,                0.98947,                0.87776,                  0.551,                0.32141,                0.97558,             0.00075932,             0.00075932,             0.00075932
                     58,                0.52994,                0.37282,                 1.1096,                0.99531,                0.99432,                0.98963,                0.89084,                0.48957,                0.28663,                0.86668,             0.00074282,             0.00074282,             0.00074282
                     59,                0.52479,                0.35638,                 1.1109,                0.99501,                0.99432,                0.98897,                0.89456,                0.47833,                0.27418,                0.83762,             0.00072631,             0.00072631,             0.00072631
                     60,                 0.5232,                0.35922,                 1.1092,                0.99502,                0.99432,                 0.9909,                0.89636,                0.47769,                0.27218,                0.83735,             0.00070981,             0.00070981,             0.00070981
                     61,                0.51817,                0.35476,                 1.1093,                0.99458,                0.99432,                 0.9925,                 0.9056,                0.47713,                0.29137,                0.83878,             0.00069331,             0.00069331,             0.00069331
                     62,                0.52119,                 0.3515,                 1.1037,                0.99539,                0.99432,                0.99231,                0.90055,                0.47347,                0.28077,                0.83826,              0.0006768,              0.0006768,              0.0006768
                     63,                0.50826,                0.35302,                 1.0982,                 0.9942,                0.99432,                0.98802,                0.88817,                0.50295,                0.28504,                0.86912,              0.0006603,              0.0006603,              0.0006603
                     64,                0.51348,                0.34594,                 1.0981,                0.99552,                0.99432,                0.98954,                  0.896,                0.46434,                0.29641,                0.83333,              0.0006438,              0.0006438,              0.0006438
                     65,                 0.5053,                0.34457,                 1.0989,                0.99515,                0.99432,                 0.9917,                0.88938,                0.48545,                0.28394,                0.85222,             0.00062729,             0.00062729,             0.00062729
                     66,                0.49908,                0.34164,                 1.0961,                0.99336,                0.99432,                0.99031,                0.90462,                0.46983,                0.25816,                0.83196,             0.00061079,             0.00061079,             0.00061079
                     67,                0.50002,                0.34235,                 1.0963,                0.99479,                0.99432,                0.98936,                0.89269,                 0.4876,                0.28821,                0.85753,             0.00059429,             0.00059429,             0.00059429
                     68,                0.50299,                0.34236,                 1.0978,                0.99518,                0.99432,                0.98949,                0.89462,                0.46583,                0.28198,                 0.8307,             0.00057778,             0.00057778,             0.00057778
                     69,                0.48942,                0.33132,                 1.0878,                 0.9942,                0.99432,                0.98957,                0.91175,                0.45291,                0.25372,                0.81181,             0.00056128,             0.00056128,             0.00056128
                     70,                0.50386,                0.34078,                 1.0955,                0.99461,                0.99432,                0.99118,                0.90151,                0.46698,                0.27979,                0.83428,             0.00054478,             0.00054478,             0.00054478
                     71,                0.49952,                0.33907,                 1.0971,                0.99483,                0.99432,                0.99048,                0.88947,                0.50424,                0.28599,                0.87748,             0.00052827,             0.00052827,             0.00052827
                     72,                0.49394,                0.33818,                 1.0878,                  0.992,                0.99432,                0.98877,                 0.8986,                 0.4585,                0.27657,                0.82326,             0.00051177,             0.00051177,             0.00051177
                     73,                0.49309,                0.34081,                  1.092,                0.99203,                0.99432,                0.98881,                0.89357,                0.47091,                0.28775,                0.83561,             0.00049527,             0.00049527,             0.00049527
                     74,                0.48593,                0.32913,                  1.085,                0.99311,                0.99432,                0.98959,                0.90202,                0.46946,                0.28925,                0.84461,             0.00047876,             0.00047876,             0.00047876
                     75,                0.49179,                0.32155,                 1.0867,                0.99158,                0.99432,                0.98973,                0.90921,                0.45279,                0.28626,                0.82345,             0.00046226,             0.00046226,             0.00046226
                     76,                0.48979,                0.32847,                 1.0854,                0.99414,                0.99432,                 0.9903,                0.90277,                0.47569,                0.28721,                0.84593,             0.00044576,             0.00044576,             0.00044576
                     77,                0.47848,                0.32198,                  1.081,                0.99447,                0.99432,                0.99141,                0.91193,                0.46734,                0.28846,                0.84177,             0.00042925,             0.00042925,             0.00042925
                     78,                0.47842,                0.31877,                 1.0804,                0.99439,                0.99432,                0.99003,                0.91243,                0.45551,                0.26201,                0.81193,             0.00041275,             0.00041275,             0.00041275
                     79,                0.47615,                0.31658,                 1.0849,                  0.994,                0.99432,                0.98953,                  0.913,                 0.4537,                0.26275,                  0.819,             0.00039625,             0.00039625,             0.00039625
                     80,                0.47797,                0.31503,                 1.0862,                0.99103,                0.98654,                0.98836,                0.89933,                0.45829,                0.27074,                0.82373,             0.00037974,             0.00037974,             0.00037974
                     81,                0.47855,                0.32136,                 1.0794,                0.99244,                0.99432,                0.98833,                0.89547,                0.45332,                0.28639,                0.82259,             0.00036324,             0.00036324,             0.00036324
                     82,                0.46695,                0.31153,                 1.0779,                0.99405,                0.99432,                0.99123,                0.91537,                0.45886,                 0.2812,                0.82837,             0.00034674,             0.00034674,             0.00034674
                     83,                0.47156,                0.30955,                 1.0784,                0.99338,                0.99432,                0.99203,                0.91413,                0.44779,                0.28034,                0.81701,             0.00033023,             0.00033023,             0.00033023
                     84,                 0.4588,                0.30091,                 1.0732,                0.99439,                0.99432,                 0.9925,                 0.9069,                0.46133,                0.28119,                0.83893,             0.00031373,             0.00031373,             0.00031373
                     85,                0.45808,                0.30261,                 1.0727,                0.99415,                0.99432,                0.99226,                0.91441,                 0.4575,                0.27999,                0.82601,             0.00029723,             0.00029723,             0.00029723
                     86,                0.45967,                0.30025,                 1.0722,                0.99473,                0.99432,                0.99176,                0.90939,                0.47089,                0.29231,                0.84682,             0.00028072,             0.00028072,             0.00028072
                     87,                0.45443,                0.29667,                 1.0677,                0.99484,                0.99432,                0.99228,                0.90765,                0.45975,                0.27918,                0.83343,             0.00026422,             0.00026422,             0.00026422
                     88,                0.45479,                0.29808,                  1.068,                0.99474,                0.99432,                0.99169,                 0.9086,                0.45553,                 0.2521,                0.81799,             0.00024772,             0.00024772,             0.00024772
                     89,                0.44931,                0.30095,                 1.0625,                0.99403,                0.99432,                0.99121,                0.91363,                0.45254,                0.26669,                0.81591,             0.00023121,             0.00023121,             0.00023121
                     90,                0.44827,                 0.2992,                 1.0696,                0.99515,                0.99432,                0.99117,                0.90957,                0.44771,                0.25512,                0.80459,             0.00021471,             0.00021471,             0.00021471
                     91,                0.41043,                0.24429,                 1.1317,                0.99435,                0.99432,                0.99048,                0.90698,                0.45672,                0.25427,                0.81452,             0.00019821,             0.00019821,             0.00019821
                     92,                0.38555,                0.22498,                 1.1048,                0.99543,                0.99432,                0.99206,                0.91579,                0.45356,                0.25718,                  0.813,              0.0001817,              0.0001817,              0.0001817
                     93,                0.38116,                0.21713,                 1.1067,                0.99456,                0.99432,                0.99155,                0.91606,                0.44691,                0.25753,                 0.8047,              0.0001652,              0.0001652,              0.0001652
                     94,                0.36885,                0.21246,                  1.094,                0.99431,                0.99432,                0.99226,                0.91918,                0.44251,                 0.2641,                0.80425,              0.0001487,              0.0001487,              0.0001487
                     95,                0.36409,                0.21082,                 1.0908,                0.99272,                0.99432,                0.99258,                0.91644,                0.44847,                0.25671,                  0.805,             0.00013219,             0.00013219,             0.00013219
                     96,                0.36196,                0.20858,                  1.081,                0.99248,                0.99432,                0.99261,                0.91571,                0.44508,                0.25632,                0.80309,             0.00011569,             0.00011569,             0.00011569
                     97,                 0.3586,                0.20394,                 1.0762,                0.99398,                0.99432,                0.99294,                0.92352,                0.43486,                0.24299,                0.79005,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.36317,                0.20751,                 1.0886,                0.99276,                0.99432,                0.99214,                0.92381,                0.44255,                 0.2472,                0.79881,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.35827,                0.20717,                 1.0825,                0.99306,                0.99432,                0.99291,                0.92114,                 0.4368,                0.24868,                0.79091,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.35573,                0.20359,                 1.0769,                0.99334,                0.99432,                0.99284,                0.92257,                0.43599,                0.25152,                0.79303,             4.9677e-05,             4.9677e-05,             4.9677e-05
