                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96689,                 1.7784,                 1.4648,                0.74353,                0.88001,                0.92323,                0.74441,                0.77824,                 1.3461,                 1.1812,             0.00055183,             0.00055183,             0.00055183
                      2,                0.93732,                 1.1287,                 1.4137,                0.99118,                0.98864,                0.98898,                0.71369,                0.98489,                 1.0538,                 1.5175,              0.0010965,              0.0010965,              0.0010965
                      3,                0.93315,                0.95107,                 1.4014,                0.65926,                0.70995,                0.77859,                0.51185,                 1.1399,                  1.593,                 1.5119,              0.0016302,              0.0016302,              0.0016302
                      4,                0.88232,                0.83009,                 1.3593,                0.93756,                0.95246,                0.97992,                0.77171,                 0.7872,                0.72359,                 1.2063,              0.0016175,              0.0016175,              0.0016175
                      5,                0.86701,                0.78634,                  1.353,                  0.886,                 0.8803,                0.98339,                0.79056,                0.73326,                0.72395,                 1.1537,              0.0016175,              0.0016175,              0.0016175
                      6,                0.83684,                0.71874,                 1.3249,                0.97955,                 0.9698,                0.98607,                0.77645,                0.82409,                0.58156,                  1.208,               0.001601,               0.001601,               0.001601
                      7,                0.79803,                0.68741,                 1.2881,                0.99122,                0.99432,                0.98907,                0.81092,                 0.7149,                0.51702,                 1.1115,              0.0015845,              0.0015845,              0.0015845
                      8,                0.76769,                0.62871,                 1.2728,                0.99113,                0.98728,                0.98649,                0.82414,                 0.6571,                0.47483,                 1.0105,               0.001568,               0.001568,               0.001568
                      9,                 0.7679,                0.63316,                 1.2853,                0.99485,                0.99432,                0.98804,                0.84198,                0.60375,                0.38327,                 1.0059,              0.0015515,              0.0015515,              0.0015515
                     10,                0.75199,                0.60733,                 1.2628,                0.99478,                0.99432,                0.98697,                0.84183,                0.62841,                0.39362,                0.99647,               0.001535,               0.001535,               0.001535
                     11,                0.74722,                0.59451,                 1.2553,                0.91952,                 0.9642,                 0.9751,                0.84124,                0.62335,                0.45491,                 1.0087,              0.0015185,              0.0015185,              0.0015185
                     12,                0.74549,                0.58459,                 1.2577,                0.99527,                0.99432,                 0.9892,                0.83615,                0.66111,                0.35788,                  1.077,               0.001502,               0.001502,               0.001502
                     13,                0.71611,                0.56783,                 1.2407,                0.99545,                0.99432,                0.98867,                0.86587,                0.54814,                0.36611,                0.92531,              0.0014855,              0.0014855,              0.0014855
                     14,                0.71717,                0.55643,                 1.2273,                0.99526,                0.99432,                0.98815,                0.87684,                0.53971,                0.37003,                0.91241,               0.001469,               0.001469,               0.001469
                     15,                0.69708,                0.54282,                 1.2279,                0.99524,                0.99432,                0.98745,                0.84894,                0.55843,                0.33651,                0.94461,              0.0014525,              0.0014525,              0.0014525
                     16,                0.70589,                0.53795,                 1.2321,                 0.9476,                0.97893,                 0.9865,                0.85964,                0.59389,                0.52735,                   0.99,               0.001436,               0.001436,               0.001436
                     17,                0.69413,                0.53141,                 1.2244,                0.99566,                0.99432,                0.98701,                0.84593,                0.60273,                0.36798,                 1.0034,              0.0014195,              0.0014195,              0.0014195
                     18,                0.69384,                0.51556,                 1.2238,                0.99541,                0.99432,                0.98748,                0.87913,                0.55614,                0.35188,                0.93415,              0.0014029,              0.0014029,              0.0014029
                     19,                0.66957,                0.51399,                 1.2093,                0.99556,                0.99432,                 0.9892,                0.88252,                0.50644,                0.32869,                0.90567,              0.0013864,              0.0013864,              0.0013864
                     20,                0.66969,                0.50235,                 1.2152,                0.99543,                0.99432,                 0.9873,                0.85681,                0.56617,                0.34248,                0.95621,              0.0013699,              0.0013699,              0.0013699
                     21,                 0.6699,                 0.4923,                 1.2033,                0.99563,                0.99432,                0.98762,                0.86347,                0.57916,                0.36322,                0.95535,              0.0013534,              0.0013534,              0.0013534
                     22,                0.64818,                0.49831,                 1.1935,                 0.9934,                0.99432,                0.98742,                0.87918,                0.51526,                0.33826,                0.89365,              0.0013369,              0.0013369,              0.0013369
                     23,                 0.6548,                0.48815,                 1.1979,                0.99543,                0.99432,                0.98726,                0.86921,                0.54268,                0.30342,                0.93268,              0.0013204,              0.0013204,              0.0013204
                     24,                0.64969,                0.48337,                 1.1944,                0.99519,                0.99432,                0.98713,                0.85954,                0.58041,                0.31575,                0.97906,              0.0013039,              0.0013039,              0.0013039
                     25,                 0.6484,                0.48343,                  1.187,                0.99563,                0.99432,                0.98778,                0.86523,                0.54136,                0.30043,                0.90569,              0.0012874,              0.0012874,              0.0012874
                     26,                0.61337,                0.45901,                 1.1678,                0.99422,                0.99432,                0.98725,                0.86499,                0.56739,                 0.3055,                0.94946,              0.0012709,              0.0012709,              0.0012709
                     27,                0.63604,                0.45694,                 1.1851,                0.99467,                0.99432,                0.98865,                0.87635,                0.56383,                0.33491,                0.95317,              0.0012544,              0.0012544,              0.0012544
